Zeitstempel,Age,Gender,City,Seniority level,Position (without seniority),Years of experience,Your main technology / programming language,Yearly brutto salary (without bonus and stocks),Yearly bonus,Yearly stocks,Yearly brutto salary (without bonus and stocks) one year ago. Only answer if staying in same country,Yearly bonus one year ago. Only answer if staying in same country,Yearly stocks one year ago. Only answer if staying in same country,Number of vacation days,Number of home office days per month,Main language at work,Company name ,Company size,Company type,Сontract duration,Company business sector,0,Timestamp,Position ,Total years of experience,Years of experience in Germany,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Employment status,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
02.12.2019 11:18:26,33.0,Male,Berlin,Senior,Fullstack Developer,13.0,PHP,64000.0,1000.0,,58000.0,1000.0,,29.0,4.0,English,,50-100,Startup,unlimited,Tourism,,,,,,,,,,,,,,
02.12.2019 11:18:35,29.0,Male,Berlin,Middle,Backend Developer,3.0,Python,55000.0,,,55000.0,,,22.0,4.0,English,,10-50,Product,unlimited,Scientific Activities,,,,,,,,,,,,,,
02.12.2019 11:18:56,,Male,Berlin,Middle,Mobile Developer,4.0,Kotlin,70000.0,,,55000.0,,,27.0,,English,,1000+,Startup,unlimited,,,,,,,,,,,,,,,
02.12.2019 11:19:08,30.0,Male,Berlin,Senior,Backend Developer,6.0,PHP,63000.0,,,,,,24.0,,English,Auto1,100-1000,Product,unlimited,Transport,,,,,,,,,,,,,,
02.12.2019 11:19:37,32.0,Male,Berlin,Senior,Embedded Developer,10.0,C/C++,66000.0,,,56000.0,,,30.0,0.0,English,Luxoft,50-100,Product,unlimited,Automotive,,,,,,,,,,,,,,
02.12.2019 11:20:30,33.0,Male,Berlin,Middle,Machine Learning Engineer,11.0,Python,80000.0,,,75000.0,,,27.0,5.0,English,Zalando,1000+,Product,unlimited,Сommerce,,,,,,,,,,,,,,
02.12.2019 11:21:26,34.0,Male,Berlin,Senior,Backend Developer,12.0,Java,85000.0,,,76000.0,,,25.0,,English,,50-100,Startup,unlimited,,,,,,,,,,,,,,,
02.12.2019 11:21:31,38.0,Male,Berlin,Head,Manager,15.0,Not Relevant,81000.0,4000.0,,75000.0,,,30.0,10.0,Deutsch,,100-1000,Product,unlimited,Automotive,,,,,,,,,,,,,,
02.12.2019 11:21:38,,Male,Berlin,Lead,Mobile Developer,8.0,Swift,66000.0,,,63000.0,,,28.0,15.0,English,,100-1000,Product,unlimited,Coaching ,,,,,,,,,,,,,,
02.12.2019 11:21:52,29.0,Male,Berlin,Senior,Mobile Developer,7.0,Kotlin,65000.0,,,54000.0,,,26.0,4.0,English,Bonial International GmbH,100-1000,Product,unlimited,Сommerce,,,,,,,,,,,,,,
